ApName,Super Build／SS7,,,,,,,,,,,,,,,,,,,,,,,
Version,1. 1. 1.14,,,,,,,,,,,,,,,,,,,,,,,
工事名,（仮称）ドラッグコスモス人吉店　新築工事,,,,,,,,,,,,,,,,,,,,,,,
略称,コスモス人吉店,,,,,,,,,,,,,,,,,,,,,,,
結果名,結果1,,,,,,,,,,,,,,,,,,,,,,,
出力日時,2020/9/30 9:41,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎フーチング材料,,,,,,,,,,,,,,,,,,,,,,,,
材料,Fc,長期許容応力度,,,短期許容応力度,,,,,,,,,,,,,,,,,,,
,または,圧縮,引張,せん断,圧縮,引張,せん断,付着(fb),,,,,,,,,,,,,,,,
,F値,,,,,,,上端筋,その他,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
Fc21(普通),21,7,,0.7,14,,1.05,1.14,1.43,<RE>,,,,,,,,,,,,,,
"SD295A(D13,D16)",295,195,195,195,295,295,295,,,<RE>,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=独立基礎断面リスト,,,,,,,,,,,,,,,,,,,,,,,,
符号,コンクリート,,,,配筋,,,,,,設計支持力,,基礎柱,,,,,,,,,,,
,Lx×Ly,せい,Df,材料,X方向,,,Y方向,,,支持力度,,,,,,,,,,,,,
,,,,,本数-径,材料,dt,本数-径,材料,dt,長期,短期,,,,,,,,,,,,
,mm,mm,mm,,,,mm,,,mm,kN/m2,kN/m2,mm,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,9,B,b2,FG32a,1,10355,上部,-0.1,163.7,-182.8,77.7,112.5,0,0,,,,,,,,,,
,,,,,,,偏心,-0.5,-16.1,-32.6,-3.4,3.4,0.3,-0.3,<RE>,,,,,,,,,
1,9,b2,C,FG32,1,7040,上部,182.4,-7.6,-67.9,79.5,46.9,0,0,,,,,,,,,,
,,,,,,,偏心,-82,15.5,-51,-20.4,20.4,-0.1,0.1,<RE>,,,,,,,,,
1,9,C,c1,FG32,1,7660,上部,67.6,69.5,-71.4,68.4,69.4,0,0,,,,,,,,,,
,,,,,,,偏心,-38.1,1.8,-34.7,-10.2,10.2,0.1,-0.1,<RE>,,,,,,,,,
1,9,c1,D,FG32,1,4045,上部,71,-26.3,-57.9,37.8,30.9,0,0,,,,,,,,,,
,,,,,,,偏心,-38.6,27.1,15.6,-5.7,5.7,0.4,-0.4,<RE>,,,,,,,,,
1,9,D,E,FG32,1,6315,上部,57.7,65.2,-0.3,65.7,47.3,0,0,,,,,,,,,,
,,,,,,,偏心,-12.1,-37.8,-87.6,-17.2,17.2,1.5,-1.5,<RE>,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎梁応力表,case=S,,,,,,,,,,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,,,,,,,,,,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,A,1,2,FG1,1,7570,上部,2.4,-0.8,0.9,0.5,-0.5,0,0,,,,,,,,,,
,,,,,,,偏心,-0.2,-0.1,-0.3,-0.1,0.1,0.5,-0.5,<RE>,,,,,,,,,
1,A,2,3,FG1,1,3770,上部,-0.3,0.8,1.3,0.3,-0.3,0,0,,,,,,,,,,
,,,,,,,偏心,0.4,-0.2,0.1,0.2,-0.2,-0.1,0.1,<RE>,,,,,,,,,
1,B,1,2,FG1,1,7570,上部,0.3,0.1,0.3,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,0.2,0.5,1,0.2,-0.2,-0.1,0.1,<RE>,,,,,,,,,
1,B,2,3,FG31,1,3770,上部,0.5,-0.4,-0.2,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-1.2,-1.3,-3.8,-1.3,1.3,-0.2,0.2,<RE>,,,,,,,,,
1,B,3,4,FG31,1,3630,上部,0.2,0.2,0.5,0.2,-0.2,0,0,,,,,,,,,,
,,,,,,,偏心,3.7,-5.8,-7.9,-1.4,1.4,0.2,-0.2,<RE>,,,,,,,,,
1,B,4,5,FG31,1,7200,上部,0.2,0.1,0.3,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-13.9,3.2,-7.6,-3.2,3.2,0,0,<RE>,,,,,,,,,
1,B,5,6,FG32,1,7200,上部,0.7,-0.1,0.5,0.2,-0.2,0,0,,,,,,,,,,
,,,,,,,偏心,-13,-1,-14.9,-4.2,4.2,0,0,<RE>,,,,,,,,,
1,B,6,7,FG32,1,7200,上部,0.4,0.1,0.4,0.2,-0.2,0,0,,,,,,,,,,
,,,,,,,偏心,-8,7.8,7.5,-0.1,0.1,0,0,<RE>,,,,,,,,,
1,B,7,8,FG32,1,7200,上部,0.5,0.1,0.5,0.2,-0.2,0,0,,,,,,,,,,
,,,,,,,偏心,15.5,-0.3,14.9,4.6,-4.6,0,0,<RE>,,,,,,,,,
1,B,8,9,FG32,1,7370,上部,0.4,-0.1,0.3,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,6,-3,0.1,0.9,-0.9,-0.1,0.1,<RE>,,,,,,,,,
1,C,1,2,FG1,1,7570,上部,0.8,-0.2,0.6,0.2,-0.2,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,0.1,0.1,0.1,-0.1,0.1,-0.1,<RE>,,,,,,,,,
1,C,2,4,FG1,1,7400,上部,0.4,0.1,0.4,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,-0.1,-0.1,-0.1,0.1,0,0,<RE>,,,,,,,,,
1,C,4,5,FG1,1,7200,上部,0.5,-0.1,0.5,0.2,-0.2,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,0.1,0.1,0.1,-0.1,0,0,<RE>,,,,,,,,,
1,C,5,6,FG1,1,7200,上部,0.5,0.1,0.5,0.2,-0.2,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,-0.1,-0.1,-0.1,0.1,0,0,<RE>,,,,,,,,,
1,C,6,7,FG1,1,7200,上部,0.5,0.1,0.5,0.2,-0.2,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,0.1,0.1,0.1,-0.1,0,0,<RE>,,,,,,,,,
1,C,7,8,FG1,1,7200,上部,0.4,-0.1,0.4,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,-0.1,-0.1,-0.1,0.1,0,0,<RE>,,,,,,,,,
1,C,8,9,FG1,1,7370,上部,0.6,0.2,0.8,0.2,-0.2,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,-0.1,0.1,0.1,-0.1,0.1,-0.1,<RE>,,,,,,,,,
1,D,1,2,FG1,1,7570,上部,-2.1,0.9,-0.3,-0.4,0.4,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,-0.1,-0.1,-0.1,0.1,0.2,-0.2,<RE>,,,,,,,,,
1,D,2,4,FG1,1,7400,上部,1.2,-0.3,0.7,0.3,-0.3,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,-0.1,-0.2,-0.1,0.1,-0.1,0.1,<RE>,,,,,,,,,
1,D,4,5,FG1,1,7200,上部,0.3,0.1,0.4,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,0.1,-0.1,-0.1,0.1,-0.4,0.4,<RE>,,,,,,,,,
1,D,5,6,FG1,1,7200,上部,0.6,0.1,0.6,0.2,-0.2,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,-0.1,0.1,0.1,-0.1,-0.1,0.1,<RE>,,,,,,,,,
1,D,6,7,FG1,1,7200,上部,0.6,-0.1,0.6,0.2,-0.2,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,0.1,0.1,-0.1,0.1,0.1,-0.1,<RE>,,,,,,,,,
1,D,7,8,FG1,1,7200,上部,0.6,0.1,0.7,0.2,-0.2,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,-0.1,-0.1,-0.1,0.1,0.1,-0.1,<RE>,,,,,,,,,
1,D,8,9,FG1,1,7370,上部,0.5,-0.1,0.3,0.2,-0.2,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,0.1,0.2,0.1,-0.1,0.4,-0.4,<RE>,,,,,,,,,
1,E,1,2,FG31,1,7570,上部,-2.1,0.8,-0.6,-0.4,0.4,0,0,,,,,,,,,,
,,,,,,,偏心,-0.2,-1.8,-3.8,-0.6,0.6,-0.3,0.3,<RE>,,,,,,,,,
1,E,2,4,FG31,1,7400,上部,0.7,-0.3,0.3,0.2,-0.2,0,0,,,,,,,,,,
,,,,,,,偏心,-8.1,0.5,-7.3,-2.3,2.3,0.1,-0.1,<RE>,,,,,,,,,
1,E,4,5,FG31,1,7200,上部,-0.1,0.1,0.1,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-3,1.5,-0.2,-0.5,0.5,1.1,-1.1,<RE>,,,,,,,,,
1,E,5,6,FG31,1,7200,上部,0.2,-0.1,0.1,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,0.2,-0.1,0.2,0.1,-0.1,0.2,-0.2,<RE>,,,,,,,,,
1,E,6,7,FG31,1,7200,上部,0.1,0.1,0.1,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-0.2,0.1,-0.1,-0.1,0.1,0.1,-0.1,<RE>,,,,,,,,,
1,E,7,8,FG32,1,7200,上部,0.3,-0.1,0.2,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,1.1,2.1,0.3,-0.3,-0.4,0.4,<RE>,,,,,,,,,
1,E,8,9,FG32,1,7370,上部,0.2,0.1,0.4,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-2.1,1,-0.2,-0.4,0.4,-1.7,1.7,<RE>,,,,,,,,,
1,1,A,B,FG1,1,5005,上部,-0.6,0.2,-0.3,-0.2,0.2,0,0,,,,,,,,,,
,,,,,,,偏心,7.3,-1.9,3.6,2.4,-2.4,-0.2,0.2,<RE>,,,,,,,,,
1,1,B,b2,FG33,1,10355,上部,0.2,-0.1,0.1,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-3.6,-1,-5.5,-1,1,0.1,-0.1,<RE>,,,,,,,,,
1,1,b2,C,FG33,1,7040,上部,-0.2,0.1,-0.2,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-7.5,3.2,-1.2,-1.3,1.3,-0.1,0.1,<RE>,,,,,,,,,
1,1,C,c1,FG33,1,7660,上部,-0.1,-0.1,-0.1,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,1.1,-2.5,-4,-0.4,0.4,0.1,-0.1,<RE>,,,,,,,,,
1,1,c1,D,FG33,1,4045,上部,-0.2,0.1,-0.2,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-5.5,6.9,8.2,0.7,-0.7,0.1,-0.1,<RE>,,,,,,,,,
1,1,D,E,FG33,1,6315,上部,-0.2,-0.1,-0.3,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,2.8,-6.1,-9.4,-1.3,1.3,0.2,-0.2,<RE>,,,,,,,,,
1,2,A,B,FG1,1,5005,上部,-0.5,4.5,8.5,1.7,-1.7,0,0,,,,,,,,,,
,,,,,,,偏心,0.6,-0.3,0.2,0.2,-0.2,0.2,-0.2,<RE>,,,,,,,,,
1,2,D,E,FG1,1,6315,上部,-3,1.4,-0.3,-0.5,0.5,0,0,,,,,,,,,,
,,,,,,,偏心,0.2,-0.3,-0.4,-0.1,0.1,-0.2,0.2,<RE>,,,,,,,,,
1,3,A,B,FG1,1,5005,上部,0.7,-0.4,0,0.2,-0.2,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,-0.1,-0.3,-0.1,0.1,0.1,-0.1,<RE>,,,,,,,,,
1,4,D,E,FG1,1,6315,上部,-3,1.4,-0.3,-0.6,0.6,0,0,,,,,,,,,,
,,,,,,,偏心,0.3,-0.7,-1,-0.2,0.2,-0.2,0.2,<RE>,,,,,,,,,
1,5,D,E,FG1,1,6315,上部,-3,1.4,-0.3,-0.6,0.6,0,0,,,,,,,,,,
,,,,,,,偏心,-0.3,-4.4,-9,-1.6,1.6,-0.1,0.1,<RE>,,,,,,,,,
1,6,D,E,FG1,1,6315,上部,-5,2.4,-0.3,-0.9,0.9,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,-4.8,-9.7,-1.7,1.7,-0.1,0.1,<RE>,,,,,,,,,
1,7,D,E,FG1,1,6315,上部,-5.1,2.2,-0.7,-1,1,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,-4.8,-9.7,-1.7,1.7,0.1,-0.1,<RE>,,,,,,,,,
1,8,D,E,FG1,1,6315,上部,-5.2,2.3,-0.8,-1,1,0,0,,,,,,,,,,
,,,,,,,偏心,-0.3,-4.1,-8.3,-1.5,1.5,0.1,-0.1,<RE>,,,,,,,,,
1,9,B,b2,FG32a,1,10355,上部,-0.2,0.1,-0.2,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,-1.7,-3.4,-0.4,0.4,0.1,-0.1,<RE>,,,,,,,,,
1,9,b2,C,FG32,1,7040,上部,-0.2,0.1,-0.2,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-8.8,1.5,-5.8,-2.3,2.3,-0.1,0.1,<RE>,,,,,,,,,
1,9,C,c1,FG32,1,7660,上部,-0.2,-0.1,-0.2,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-4.7,0.4,-4,-1.2,1.2,0.1,-0.1,<RE>,,,,,,,,,
1,9,c1,D,FG32,1,4045,上部,-0.2,0.1,-0.1,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-4.5,2.7,1,-0.9,0.9,0.1,-0.1,<RE>,,,,,,,,,
1,9,D,E,FG32,1,6315,上部,-0.1,-0.1,-0.2,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-0.6,-3.1,-6.7,-1.3,1.3,0.2,-0.2,<RE>,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎梁応力表,case=WX+,,,,,,,,,,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,,,,,,,,,,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,A,1,2,FG1,1,7570,上部,-4.7,1.7,-1.3,-0.8,0.8,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,0.1,0.3,0.1,-0.1,-0.6,0.6,<RE>,,,,,,,,,
1,A,2,3,FG1,1,3770,上部,1.3,-1.9,-2.4,-0.3,0.3,0,0,,,,,,,,,,
,,,,,,,偏心,-0.4,0.2,-0.1,-0.1,0.1,0.1,-0.1,<RE>,,,,,,,,,
1,B,1,2,FG1,1,7570,上部,-3.1,0.9,-1.4,-0.6,0.6,0,0,,,,,,,,,,
,,,,,,,偏心,-0.2,-0.3,-0.6,-0.1,0.1,0.1,-0.1,<RE>,,,,,,,,,
1,B,2,3,FG31,1,3770,上部,0.8,-0.7,-0.5,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,0.7,0.8,2.1,0.7,-0.7,0.1,-0.1,<RE>,,,,,,,,,
1,B,3,4,FG31,1,3630,上部,0.5,-0.2,0.1,0.2,-0.2,0,0,,,,,,,,,,
,,,,,,,偏心,-2,3.2,4.3,0.8,-0.8,-0.1,0.1,<RE>,,,,,,,,,
1,B,4,5,FG31,1,7200,上部,-0.7,0.2,-0.4,-0.2,0.2,0,0,,,,,,,,,,
,,,,,,,偏心,8.7,-1.2,6.4,2.3,-2.3,0,0,<RE>,,,,,,,,,
1,B,5,6,FG32,1,7200,上部,-0.3,-0.1,-0.4,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,16.9,-2.7,11.5,4.3,-4.3,0,0,<RE>,,,,,,,,,
1,B,6,7,FG32,1,7200,上部,-0.4,-0.1,-0.4,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,2.5,-4.5,-6.4,-0.6,0.6,0,0,<RE>,,,,,,,,,
1,B,7,8,FG32,1,7200,上部,-0.3,0.1,-0.2,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-7.1,2.5,-2.2,-1.4,1.4,0,0,<RE>,,,,,,,,,
1,B,8,9,FG32,1,7370,上部,-0.5,-0.3,-1.1,-0.3,0.3,0,0,,,,,,,,,,
,,,,,,,偏心,0.8,-0.4,0.1,0.2,-0.2,0.1,-0.1,<RE>,,,,,,,,,
1,C,1,2,FG1,1,7570,上部,-6.1,2.1,-2,-1.1,1.1,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,-0.1,-0.1,-0.1,0.1,-0.1,0.1,<RE>,,,,,,,,,
1,C,2,4,FG1,1,7400,上部,1.4,-0.6,0.3,0.3,-0.3,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,0.1,0.1,0.1,-0.1,0,0,<RE>,,,,,,,,,
1,C,4,5,FG1,1,7200,上部,-0.8,0.2,-0.5,-0.2,0.2,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,-0.1,-0.1,-0.1,0.1,0,0,<RE>,,,,,,,,,
1,C,5,6,FG1,1,7200,上部,-0.2,-0.1,-0.2,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,0.1,0.1,0.1,-0.1,0,0,<RE>,,,,,,,,,
1,C,6,7,FG1,1,7200,上部,-0.5,-0.1,-0.6,-0.2,0.2,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,-0.1,-0.1,-0.1,0.1,0,0,<RE>,,,,,,,,,
1,C,7,8,FG1,1,7200,上部,0.1,0.4,0.7,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,0.1,0.1,0.1,-0.1,0,0,<RE>,,,,,,,,,
1,C,8,9,FG1,1,7370,上部,-1.3,-1.2,-3.7,-0.7,0.7,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,0.1,-0.1,-0.1,0.1,-0.1,0.1,<RE>,,,,,,,,,
1,D,1,2,FG1,1,7570,上部,1.3,-0.6,0.2,0.2,-0.2,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,0.1,0.2,0.1,-0.1,-0.2,0.2,<RE>,,,,,,,,,
1,D,2,4,FG1,1,7400,上部,-0.8,0.2,-0.5,-0.2,0.2,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,0.1,0.1,0.1,-0.1,0.1,-0.1,<RE>,,,,,,,,,
1,D,4,5,FG1,1,7200,上部,-0.2,-0.1,-0.3,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,-0.1,-0.1,0.1,-0.1,0.2,-0.2,<RE>,,,,,,,,,
1,D,5,6,FG1,1,7200,上部,-0.4,0.1,-0.4,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,0.1,0.1,0.1,-0.1,0.1,-0.1,<RE>,,,,,,,,,
1,D,6,7,FG1,1,7200,上部,-0.5,-0.1,-0.5,-0.2,0.2,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,-0.1,-0.1,0.1,-0.1,0.2,-0.2,<RE>,,,,,,,,,
1,D,7,8,FG1,1,7200,上部,-0.4,0.1,-0.2,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,0.1,-0.1,-0.1,0.1,-0.6,0.6,<RE>,,,,,,,,,
1,D,8,9,FG1,1,7370,上部,-0.7,-0.4,-1.4,-0.3,0.3,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,0.1,0.1,0.1,-0.1,0.1,-0.1,<RE>,,,,,,,,,
1,E,1,2,FG31,1,7570,上部,2.6,-1,0.7,0.5,-0.5,0,0,,,,,,,,,,
,,,,,,,偏心,0.2,1.9,3.9,0.6,-0.6,0.4,-0.4,<RE>,,,,,,,,,
1,E,2,4,FG31,1,7400,上部,-0.8,0.3,-0.3,-0.2,0.2,0,0,,,,,,,,,,
,,,,,,,偏心,6.9,-1,5,1.8,-1.8,-0.1,0.1,<RE>,,,,,,,,,
1,E,4,5,FG31,1,7200,上部,0.2,-0.1,0.1,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,1.2,-0.8,-0.4,0.2,-0.2,-0.6,0.6,<RE>,,,,,,,,,
1,E,5,6,FG31,1,7200,上部,-0.2,0.1,-0.1,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,0.4,0.6,1.5,0.3,-0.3,-0.3,0.3,<RE>,,,,,,,,,
1,E,6,7,FG31,1,7200,上部,-0.1,-0.1,-0.1,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-1.6,-1.3,-4.1,-0.8,0.8,-0.8,0.8,<RE>,,,,,,,,,
1,E,7,8,FG32,1,7200,上部,-0.2,0.1,0.1,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,4.2,1,6.2,1.5,-1.5,3.1,-3.1,<RE>,,,,,,,,,
1,E,8,9,FG32,1,7370,上部,-0.3,-0.3,-0.8,-0.2,0.2,0,0,,,,,,,,,,
,,,,,,,偏心,-6.1,3,-0.1,-0.9,0.9,-0.4,0.4,<RE>,,,,,,,,,
1,1,A,B,FG1,1,5005,上部,2.2,-0.7,0.9,0.6,-0.6,0,0,,,,,,,,,,
,,,,,,,偏心,-8.3,2.2,-4,-2.8,2.8,0.1,-0.1,<RE>,,,,,,,,,
1,1,B,b2,FG33,1,10355,上部,-0.9,0.3,-0.3,-0.2,0.2,0,0,,,,,,,,,,
,,,,,,,偏心,4,0.9,5.7,1,-1,-0.1,0.1,<RE>,,,,,,,,,
1,1,b2,C,FG33,1,7040,上部,0.3,-0.1,0.2,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,7.3,-3.3,0.8,1.2,-1.2,0.1,-0.1,<RE>,,,,,,,,,
1,1,C,c1,FG33,1,7660,上部,-0.1,-0.1,-0.2,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-0.7,3.1,5.4,0.7,-0.7,-0.1,0.1,<RE>,,,,,,,,,
1,1,c1,D,FG33,1,4045,上部,0.2,0.3,0.7,0.2,-0.2,0,0,,,,,,,,,,
,,,,,,,偏心,7,-8.9,-10.8,-1,1,-0.1,0.1,<RE>,,,,,,,,,
1,1,D,E,FG33,1,6315,上部,-0.6,-0.7,-2,-0.4,0.4,0,0,,,,,,,,,,
,,,,,,,偏心,-3.6,8,12.5,1.7,-1.7,-0.2,0.2,<RE>,,,,,,,,,
1,2,A,B,FG1,1,5005,上部,3.2,-5.5,-7.8,-1,1,0,0,,,,,,,,,,
,,,,,,,偏心,-0.6,0.3,-0.1,-0.2,0.2,-0.1,0.1,<RE>,,,,,,,,,
1,2,D,E,FG1,1,6315,上部,1.5,-1.5,-1.5,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-0.2,0.3,0.4,0.1,-0.1,0.2,-0.2,<RE>,,,,,,,,,
1,3,A,B,FG1,1,5005,上部,0.4,-0.2,0,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,0.1,0.2,0.1,-0.1,-0.1,0.1,<RE>,,,,,,,,,
1,4,D,E,FG1,1,6315,上部,1.1,-1.1,-1.1,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-0.2,0.4,0.6,0.1,-0.1,0.1,-0.1,<RE>,,,,,,,,,
1,5,D,E,FG1,1,6315,上部,1.1,-1.1,-1.1,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,0.2,2.5,5.1,0.9,-0.9,-0.1,0.1,<RE>,,,,,,,,,
1,6,D,E,FG1,1,6315,上部,2.1,-1.6,-1.1,0.2,-0.2,0,0,,,,,,,,,,
,,,,,,,偏心,-0.2,3.4,6.6,1.2,-1.2,0.1,-0.1,<RE>,,,,,,,,,
1,7,D,E,FG1,1,6315,上部,2.1,-2.2,-2.2,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,0.8,5.8,12.4,2.3,-2.3,-0.1,0.1,<RE>,,,,,,,,,
1,8,D,E,FG1,1,6315,上部,2.1,-2.2,-2.2,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-0.6,-0.5,-1.6,-0.4,0.4,-0.1,0.1,<RE>,,,,,,,,,
1,9,B,b2,FG32a,1,10355,上部,1.9,-0.7,0.6,0.3,-0.3,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,0.8,1.6,0.2,-0.2,0.1,-0.1,<RE>,,,,,,,,,
1,9,b2,C,FG32,1,7040,上部,-0.6,0.3,-0.2,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,4.3,-0.6,3.1,1.2,-1.2,0.1,-0.1,<RE>,,,,,,,,,
1,9,C,c1,FG32,1,7660,上部,0.2,-0.1,-0.1,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,3,-0.2,2.7,0.8,-0.8,-0.1,0.1,<RE>,,,,,,,,,
1,9,c1,D,FG32,1,4045,上部,0.1,0.2,0.4,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,3.5,-1.6,0.3,1,-1,0.1,-0.1,<RE>,,,,,,,,,
1,9,D,E,FG32,1,6315,上部,-0.4,-0.5,-1.3,-0.3,0.3,0,0,,,,,,,,,,
,,,,,,,偏心,-0.3,1.1,2,0.3,-0.3,0.1,-0.1,<RE>,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎梁応力表,case=WX-,,,,,,,,,,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,,,,,,,,,,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,A,1,2,FG1,1,7570,上部,1.4,-0.5,0.4,0.3,-0.3,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,0.1,0.2,0.1,-0.1,-0.3,0.3,<RE>,,,,,,,,,
1,A,2,3,FG1,1,3770,上部,1,1.1,3.1,1.1,-1.1,0,0,,,,,,,,,,
,,,,,,,偏心,-0.3,0.1,-0.1,-0.1,0.1,0.1,-0.1,<RE>,,,,,,,,,
1,B,1,2,FG1,1,7570,上部,1.8,-0.5,0.9,0.4,-0.4,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,-0.3,-0.7,-0.1,0.1,0.1,-0.1,<RE>,,,,,,,,,
1,B,2,3,FG31,1,3770,上部,-0.4,0.3,0.2,-0.1,0.1,0,0,,,,,,,,,,
,,,,,,,偏心,0.8,0.9,2.5,0.9,-0.9,0.1,-0.1,<RE>,,,,,,,,,
1,B,3,4,FG31,1,3630,上部,-0.2,0.2,0.2,0.1,-0.1,0,0,,,,,,,,,,
,,,,,,,偏心,-2.4,3.8,5.2,0.9,-0.9,-0.1,0.1,<RE>,,,,,,,,,
