ApName,Super Build／SS7,,,,,,,,,,,,,,
Version,1. 1. 1.14,,,,,,,,,,,,,,
工事名,佐川急便株式会社九州航空営業所新築工事,,,,,,,,,,,,,,
略称,倉庫棟,,,,,,,,,,,,,,
結果名,結果1,,,,,,,,,,,,,,
出力日時,2020/9/1 17:02,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎フーチング材料,,,,,,,,,,,,,,,
材料,Fc,長期許容応力度,,,短期許容応力度,,,,,,,,,,
,または,圧縮,引張,せん断,圧縮,引張,せん断,付着(fb),,,,,,,
,F値,,,,,,,上端筋,その他,,,,,,
,,,,,,,,,,,,,,,
,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,,,,,,
<data>,,,,,,,,,,,,,,,
Fc24(普通),24,8,,0.73,16,,1.1,1.2,1.5,<RE>,,,,,
SD295A(D13),295,195,195,195,295,295,295,,,<RE>,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=独立基礎断面リスト,,,,,,,,,,,,,,,
符号,コンクリート,,,,配筋,,,,,,設計支持力,,,,
,Lx×Ly,せい,Df,材料,X方向,,,Y方向,,,支持力度,,,,
,,,,,本数-径,材料,dt,本数-径,材料,dt,長期,短期,,,
,mm,mm,mm,,,,mm,,,mm,kN/m2,kN/m2,,,
1SL,3,F,G,FG1,1,7080,上部,-0.8,0.7,0.6,-0.1,0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,3,G,H,FG1,1,8640,上部,0.7,-0.5,-0.4,0.1,-0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,4,F,G,FG1,1,7080,上部,-0.8,0.7,0.6,-0.1,0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,4,G,H,FG1,1,8640,上部,0.6,-0.5,-0.4,0.1,-0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,5,F,G,FG1,1,7080,上部,-1.1,0.8,0.5,-0.1,0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,5,G,H,FG1,1,8640,上部,0.7,-0.6,-0.5,0.1,-0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,6,F,G,FG1,1,7080,上部,-1.4,1,0.5,-0.2,0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,6,G,H,FG1,1,8640,上部,0.8,-0.7,-0.5,0.1,-0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,A,B,FG1,1,8645,上部,1.5,-0.6,0.4,0.3,-0.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,B,C,FG1,1,8075,上部,-0.3,0.4,0.5,0.1,-0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,C,D,FG1,1,10750,上部,0.5,-0.2,0.2,0.1,-0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,D,E,FG1,1,10970,上部,0.2,0.2,0.5,0.1,-0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,E,F,FG1,1,2780,上部,0.8,-0.6,-0.4,0.2,-0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,F,G,FG1,1,7080,上部,0.4,0.1,0.4,0.1,-0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,G,H,FG1,1,8640,上部,-0.4,-0.2,-0.6,-0.2,0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,A,B,FG1,1,8645,上部,1.9,-1,0.1,0.3,-0.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,C,D,FG2,1,10750,上部,1,-0.3,0.5,0.2,-0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,E,G,FG2,1,9860,上部,0.2,0.2,0.5,0.1,-0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,G,H,FG1,1,8640,上部,-0.1,-0.5,-1.1,-0.2,0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,A,B,FG1,1,8645,上部,1.3,-0.5,0.3,0.2,-0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,B,C,FG1,1,8075,上部,-0.3,0.3,0.3,0.1,-0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,C,D,FG2,1,10750,上部,0.5,-0.1,0.3,0.1,-0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,D,E,FG2,1,10970,上部,0.1,-0.1,0.1,0.1,-0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,E,G,FG2,1,9860,上部,0.2,0.1,0.4,0.1,-0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,G,H,FG1,1,8640,上部,0.1,-0.3,-0.4,-0.1,0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎梁応力表,case=WX+,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,
<data>,,,,,,,,,,,,,,,
1SL,A,7,8,FG1,1,6770,上部,-18.4,3,-12.4,-4.6,4.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,A,8,9,FG1,1,5940,上部,-14.8,-3.6,-21.8,-6.2,6.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,B,7,8,FG1,1,6770,上部,-16.8,2.9,-11.1,-4.2,4.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,B,8,9,FG1,1,5940,上部,-14.1,-3.8,-21.7,-6.1,6.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,C,7,8,FG1,1,6770,上部,-14.9,2.5,-10,-3.7,3.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,C,8,9,FG1,1,5940,上部,-13.4,-3.5,-20.3,-5.7,5.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,D,7,8,FG1,1,6770,上部,-11.7,1.6,-8.6,-3,3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,D,8,9,FG1,1,5940,上部,-12.7,-2.9,-18.4,-5.3,5.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,E,7,8,FG1,1,6770,上部,-14.2,2.9,-8.4,-3.4,3.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,E,8,9,FG1,1,5940,上部,-10,-3.4,-16.7,-4.5,4.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,1,2,FG1,1,10644,上部,-16.5,3.2,-10.2,-2.5,2.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,2,3,FG1,1,8136,上部,-5.5,-0.7,-6.9,-1.6,1.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,3,4,FG1,1,7765,上部,-7.8,0.5,-6.9,-1.9,1.9,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,4,5,FG1,1,7765,上部,-7.8,-0.9,-9.5,-2.3,2.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,5,6,FG1,1,10750,上部,-8.3,-0.2,-8.6,-1.6,1.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,6,7,FG1,1,10760,上部,-3.8,1.9,0,-0.4,0.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,1,2,FG1,1,10644,上部,-19.7,2.7,-14.3,-3.2,3.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,3,4,FG1,1,7765,上部,-14.9,0.1,-14.7,-3.9,3.9,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,5,6,FG1,1,10750,上部,-16.2,0.2,-16,-3,3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,7,8,FG1,1,6770,上部,-14,3.3,-7.5,-3.2,3.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,8,9,FG1,1,5940,上部,-8.3,-3.6,-15.4,-4,4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,1,2,FG1,1,10644,上部,-14.6,3,-8.7,-2.2,2.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,2,3,FG1,1,8136,上部,-4,-0.7,-5.4,-1.2,1.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,3,4,FG1,1,7765,上部,-6.5,0.4,-5.7,-1.6,1.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,4,5,FG1,1,7765,上部,-6.2,-0.7,-7.5,-1.8,1.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,5,6,FG1,1,10750,上部,-6.6,-0.2,-6.9,-1.3,1.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,6,7,FG1,1,10760,上部,-6.4,0.4,-5.6,-1.2,1.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,7,8,FG1,1,6770,上部,-6.2,0.8,-4.8,-1.7,1.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,8,9,FG1,1,5940,上部,-8.5,-2.1,-12.6,-3.6,3.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,1,F,G,FG1,1,7080,上部,9.7,-2.8,4.3,2,-2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,1,G,H,FG1,1,8640,上部,3.4,2.3,7.8,1.3,-1.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,2,F,G,FG1,1,7080,上部,10.2,-3.3,3.6,2,-2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,2,G,H,FG1,1,8640,上部,1.1,2,5,0.7,-0.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,3,F,G,FG1,1,7080,上部,8.3,-2.3,3.7,1.7,-1.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,3,G,H,FG1,1,8640,上部,0.1,0.7,1.4,0.2,-0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,4,F,G,FG1,1,7080,上部,7,-2.1,2.9,1.4,-1.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,4,G,H,FG1,1,8640,上部,-0.8,0.5,0.2,-0.1,0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,5,F,G,FG1,1,7080,上部,5.9,-2,2,1.1,-1.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,5,G,H,FG1,1,8640,上部,-1.5,0.4,-0.7,-0.3,0.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,6,F,G,FG1,1,7080,上部,4.3,-1.9,0.7,0.7,-0.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,6,G,H,FG1,1,8640,上部,-2.7,0.2,-2.4,-0.6,0.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,A,B,FG1,1,8645,上部,-2.4,0.2,-2,-0.5,0.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,B,C,FG1,1,8075,上部,-2.3,-0.3,-2.9,-0.7,0.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,C,D,FG1,1,10750,上部,-1.7,0.4,-0.9,-0.3,0.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,D,E,FG1,1,10970,上部,-1.8,-0.8,-3.3,-0.5,0.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,E,F,FG1,1,2780,上部,-1.8,2,2.1,0.2,-0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,F,G,FG1,1,7080,上部,-2.1,1.3,0.4,-0.3,0.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,G,H,FG1,1,8640,上部,-0.4,-2.1,-4.5,-0.6,0.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,A,B,FG1,1,8645,上部,-3.2,-1,-5.1,-1,1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,C,D,FG2,1,10750,上部,-5.3,0.2,-5.1,-1,1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,E,G,FG2,1,9860,上部,-3.1,1.2,-0.7,-0.4,0.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,G,H,FG1,1,8640,上部,-1.7,-1.8,-5.2,-0.8,0.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,A,B,FG1,1,8645,上部,-4,0.7,-2.7,-0.8,0.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,B,C,FG1,1,8075,上部,-2.2,-0.4,-3,-0.7,0.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,C,D,FG2,1,10750,上部,-2.7,0.1,-2.6,-0.5,0.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,D,E,FG2,1,10970,上部,-2.5,-0.1,-2.5,-0.5,0.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,E,G,FG2,1,9860,上部,-2.4,0.3,-1.9,-0.5,0.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,G,H,FG1,1,8640,上部,-3.5,-0.9,-5.2,-1,1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎梁応力表,case=WX-,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,
<data>,,,,,,,,,,,,,,,
1SL,A,7,8,FG1,1,6770,上部,20.6,-4.6,11.4,4.8,-4.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,A,8,9,FG1,1,5940,上部,12.1,4.8,21.7,5.7,-5.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,B,7,8,FG1,1,6770,上部,21.6,-5.7,10.3,4.7,-4.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,B,8,9,FG1,1,5940,上部,11.2,6.2,23.4,5.8,-5.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,C,7,8,FG1,1,6770,上部,20.5,-5.5,9.6,4.5,-4.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,C,8,9,FG1,1,5940,上部,10.2,6,22.1,5.5,-5.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,D,7,8,FG1,1,6770,上部,19.3,-5.4,8.6,4.2,-4.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,D,8,9,FG1,1,5940,上部,9,5.8,20.5,5,-5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,E,7,8,FG1,1,6770,上部,17,-4.8,7.5,3.7,-3.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,E,8,9,FG1,1,5940,上部,8.2,5.2,18.6,4.5,-4.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,1,2,FG1,1,10644,上部,11.5,-1.8,8,1.9,-1.9,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,2,3,FG1,1,8136,上部,5.8,0.2,6.2,1.5,-1.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,3,4,FG1,1,7765,上部,6.8,-0.1,6.7,1.8,-1.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,4,5,FG1,1,7765,上部,6.5,-0.1,6.5,1.7,-1.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,5,6,FG1,1,10750,上部,7.1,1.2,9.5,1.6,-1.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,6,7,FG1,1,10760,上部,5.7,-2.9,0,0.6,-0.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,1,2,FG1,1,10644,上部,12.6,-0.2,12.2,2.4,-2.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,3,4,FG1,1,7765,上部,13.2,-0.1,13.2,3.4,-3.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,5,6,FG1,1,10750,上部,12.7,0.5,13.5,2.5,-2.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,7,8,FG1,1,6770,上部,15.2,-4.5,6.4,3.2,-3.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,8,9,FG1,1,5940,上部,7.2,5,17.2,4.1,-4.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,1,2,FG1,1,10644,上部,9.3,-1.5,6.4,1.5,-1.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,2,3,FG1,1,8136,上部,4.6,0.3,5,1.2,-1.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,3,4,FG1,1,7765,上部,5.5,-0.2,5.2,1.4,-1.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,4,5,FG1,1,7765,上部,5.4,0.2,5.8,1.5,-1.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,5,6,FG1,1,10750,上部,4.9,0.3,5.3,1,-1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,6,7,FG1,1,10760,上部,6,0.1,6.1,1.2,-1.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,7,8,FG1,1,6770,上部,6.9,-1.6,3.8,1.6,-1.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,8,9,FG1,1,5940,上部,7.2,2.9,13,3.4,-3.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,1,F,G,FG1,1,7080,上部,-6.3,0.6,-5.2,-1.7,1.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,1,G,H,FG1,1,8640,上部,-5.3,-1,-7.1,-1.5,1.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,2,F,G,FG1,1,7080,上部,-1.7,-0.8,-3.2,-0.7,0.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,2,G,H,FG1,1,8640,上部,-5.3,-0.6,-6.4,-1.4,1.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,3,F,G,FG1,1,7080,上部,0.5,-1.1,-1.7,-0.2,0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,3,G,H,FG1,1,8640,上部,-4.8,-0.7,-6.1,-1.3,1.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,4,F,G,FG1,1,7080,上部,1.6,-1.2,-0.9,0.2,-0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,4,G,H,FG1,1,8640,上部,-4.1,-0.5,-5,-1.1,1.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,5,F,G,FG1,1,7080,上部,2.8,-1.5,-0.2,0.4,-0.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,5,G,H,FG1,1,8640,上部,-3.3,-0.2,-3.7,-0.8,0.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,6,F,G,FG1,1,7080,上部,4.7,-1.9,1,0.8,-0.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,6,G,H,FG1,1,8640,上部,-2.4,0.3,-2,-0.6,0.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,A,B,FG1,1,8645,上部,1.1,0.1,1.2,0.3,-0.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,B,C,FG1,1,8075,上部,0.8,-0.3,0.3,0.2,-0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,C,D,FG1,1,10750,上部,0.3,0.3,0.8,0.1,-0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,D,E,FG1,1,10970,上部,0.9,-0.2,0.6,0.2,-0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,E,F,FG1,1,2780,上部,-0.2,-0.3,-0.6,-0.3,0.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,F,G,FG1,1,7080,上部,0.6,0.5,1.4,0.3,-0.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,G,H,FG1,1,8640,上部,1,-0.4,0.2,0.2,-0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,A,B,FG1,1,8645,上部,3,0.4,3.7,0.8,-0.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,C,D,FG2,1,10750,上部,1.4,0.7,2.7,0.4,-0.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,E,G,FG2,1,9860,上部,3.2,-0.6,2.1,0.6,-0.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,G,H,FG1,1,8640,上部,1,0.1,1,0.3,-0.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,A,B,FG1,1,8645,上部,3.3,-0.3,2.8,0.7,-0.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,B,C,FG1,1,8075,上部,1.8,-0.3,1.3,0.4,-0.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,C,D,FG2,1,10750,上部,1.1,0.3,1.6,0.3,-0.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,D,E,FG2,1,10970,上部,2.1,-0.1,2,0.4,-0.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,E,G,FG2,1,9860,上部,2,-0.2,1.8,0.4,-0.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,G,H,FG1,1,8640,上部,2.1,0.2,2.3,0.5,-0.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎梁応力表,case=WY+,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,
<data>,,,,,,,,,,,,,,,
1SL,A,7,8,FG1,1,6770,上部,11.6,-2.5,6.7,2.7,-2.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,A,8,9,FG1,1,5940,上部,3.7,1.1,5.9,1.6,-1.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,B,7,8,FG1,1,6770,上部,12,-2.8,6.5,2.8,-2.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,B,8,9,FG1,1,5940,上部,1.3,0.7,2.6,0.7,-0.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,C,7,8,FG1,1,6770,上部,9.4,-2.4,4.8,2.1,-2.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,C,8,9,FG1,1,5940,上部,0.6,0.7,1.9,0.4,-0.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,D,7,8,FG1,1,6770,上部,7.4,-2.1,3.3,1.6,-1.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,D,8,9,FG1,1,5940,上部,-1.3,0.4,-0.6,-0.4,0.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,E,7,8,FG1,1,6770,上部,4.3,-1.3,1.7,0.9,-0.9,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,E,8,9,FG1,1,5940,上部,-2.5,-0.4,-3.1,-1,1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,1,2,FG1,1,10644,上部,-1.2,-0.2,-1.4,-0.3,0.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,2,3,FG1,1,8136,上部,-1.8,0.2,-1.5,-0.5,0.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,3,4,FG1,1,7765,上部,0.2,0.6,1.3,0.2,-0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,4,5,FG1,1,7765,上部,-1.4,-1.7,-4.7,-0.8,0.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,5,6,FG1,1,10750,上部,-1.4,2,2.7,0.2,-0.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,6,7,FG1,1,10760,上部,4.5,-2.3,0,0.5,-0.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,1,2,FG1,1,10644,上部,-1.5,-1.4,-4.2,-0.6,0.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,3,4,FG1,1,7765,上部,-3.6,0.7,-2.3,-0.8,0.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,5,6,FG1,1,10750,上部,-5.9,1.3,-3.4,-0.9,0.9,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,7,8,FG1,1,6770,上部,-0.5,0.1,-0.3,-0.1,0.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,8,9,FG1,1,5940,上部,-3.1,-1.3,-5.5,-1.5,1.5,0,0,
