深度,N値,,,杭径,杭頭,杭長,埋込み,先端,摩擦考慮,1,,2,
1.3,6,1,0,500,1.1,8,0.1,9,2,2.6,1,1.1,2
2.3,8,2.6,1,,,,,,,9,1,2.6,2
3.3,3,8.7,1,,,,,,,,,,
4.3,4,10.6,1,,,,,,,,,,
5.3,4,12.8,1,,,,,,,,,,
6.3,5,16,1,,,,,,,,,,
7.3,7,20.3,1,,,,,,,,,,
8.3,22,,,,,,,,,,,,
9.3,23,,,,,,,,,,,,
10.3,23,,,,,,,,,,,,
11.3,25,,,,,,,,,,,,
12.3,34,,,,,,,,,,,,
13.3,38,,,,,,,,,,,,
14.3,28,,,,,,,,,,,,
15.3,42,,,,,,,,,,,,
16.3,63,,,,,,,,,,,,
17.3,71,,,,,,,,,,,,
18.3,75,,,,,,,,,,,,
19.3,88,,,,,,,,,,,,
20.3,107,,,,,,,,,,,,
