1,2,3,4,5,6,7,1,2,3,4,5,6,7
,,,,,,,,,,,,,
B,B,B,B,B,B,B,D,D,D,D,D,D,D
,,,,,,,,,,,,,
224.2,630.1,835.2,840,835.3,844.6,513.3,380.4,701.9,841.1,849.1,845.7,856.7,521.1
,,,,,,,,,,,,,
117.2,604.4,832.7,841.2,841.4,806.3,679.3,118.2,842.1,822.2,850.6,853.1,821.7,688.1
,,,,,,,,,,,,,
331.1,655.7,837.7,838.7,829.1,883,347.2,642.7,561.7,860.1,847.6,838.2,891.6,354.1
,,,,,,,,,,,,,
146.5,492,658.3,665,662.1,673.2,379.3,457.4,840.7,1018.1,1024,1018.8,1028.1,654.9
,,,,,,,,,,,,,
301.8,768.2,1012.1,1014.9,1008.4,1016.1,647.2,303.5,563.1,664.2,674.2,672.5,685.2,387.3
