   -1.8   20.3  -10.8   -9.1   -3.4  -10.6  -11.1   -9.9   -0.2    7.3A   1   34
   23.5   35.5   70.5   77.9   18.4  -26.3  -12.4   -4.2   15.9    4.8A   1   35
  -21.9  -46.7  -42.8  -21.6   -4.3   15.9   32.0   41.9   12.3  -16.0A   1   36
  -20.4   -8.2  -20.6  -13.7   -5.5    5.3   13.4   26.6   23.2    7.9A   1   37
   -0.8   20.0   43.5   49.2   19.1    9.2   -2.2   -2.1    5.2    9.3A   1   38
   25.5   36.8   52.5   54.1   42.5   39.8   55.9   75.6   36.5   41.1A   1   39
    9.8  -20.4  -24.9  -40.5  -41.3  -47.1  -43.3  -45.8   -5.7   17.8A   1   40
  -20.8  -49.2  -53.0  -36.2  -40.5  -30.8  -31.6  -26.5  -26.5  -26.9A   1   41
  -34.5  -30.9  -21.7   -7.8    8.7   28.1   31.0   35.8   34.1   35.8A   1   42
   28.7   30.5   11.2   21.4   13.6   38.4  -86.1 -134.9 -134.2 -135.4A   1   43
 -119.3 -104.2  -82.9  -65.1  -44.4  -25.8   -6.0   -9.1  -18.2  -14.7A   1   44
    8.5   16.3    5.0   26.4   58.2   86.7  120.0  169.5  111.1 -110.0A   1   45
  -36.6  -44.5  -23.6  -96.0  -65.6  -59.7  -67.0  -55.2   -2.7   37.8A   1   46
  107.2  166.9   94.7   40.8   66.7   13.2   -9.5  -52.0  -82.7 -115.2A   1   47
 -115.0  -80.3  -36.9    2.9   54.5  117.8  161.0  -27.0    3.4   -5.6A   1   48
    2.0   14.6   53.7   79.8  -20.5  -59.0  -16.9  -17.5   -2.8    7.4A   1   49
   38.2   56.7   75.3   80.1   59.2   30.4    2.3    6.4  -40.6  -45.1A   1   50
   -7.9   16.8   56.7    9.3   -5.5    4.4  -12.3  -28.2  -43.7  -35.2A   1   51
  -25.5  -11.1   20.5   51.9   85.4  114.4   73.3   23.7  -36.8  -27.1A   1   52
  -21.7  -87.3  -97.3  -58.9  -33.6    7.7   25.9   50.8   36.1    8.1A   1   53
   -5.6  -20.9  -31.7  -23.8  -37.6  -55.0  -72.2  -80.3  -52.3  -34.0A   1   54
   -1.1    6.5   -3.7   -0.5  -16.8  -41.0   -8.0    7.9   37.4   61.5A   1   55
   66.5   25.4   -5.7  -47.4  -35.6  -24.3   -4.8   12.6   37.9   24.1A   1   56
  -22.7  -42.8  -67.9  -66.1  -59.0  -51.3  -40.8  -30.9  -26.6  -54.1A   1   57
  -62.8  -90.8 -110.7  -88.1  -77.0  -58.2  -47.3  -33.3  -19.9    2.0A   1   58
   21.1   43.2   61.3   76.7   93.3  106.6  113.0  118.7  124.7  133.4A   1   59
  159.4  179.7  203.7  123.6   44.2  -14.0  -66.6  -55.5  -69.3  -98.4A   1   60
 -124.6 -117.9 -105.0  -92.0  -74.3  -80.9  -85.0  -86.0  -86.3  -87.3A   1   61
  -86.8  -88.5  -53.7    5.2   21.5   24.5   58.0   31.4   23.6   48.5A   1   62
   58.9   52.5   35.5   19.7   19.9   49.2   34.3   28.8   43.2   23.9A   1   63
    8.8    7.7  -14.8   -7.7   -1.9    7.5    4.4  -14.5  -31.6  -24.1A   1   64
   -2.8   18.2   42.6   43.9   51.2   46.6   47.9   19.3   22.2   27.4A   1   65
   39.3   50.4   57.7   58.8   82.2   79.7   94.9   34.5    4.5  -12.3A   1   66
  -34.7  -42.6  -41.6  -27.5  -27.0    7.4   42.8  -23.1  -38.7   -8.3A   1   67
   13.9   44.5    2.7  -69.7  -79.6  -25.1  -13.5    7.9  -11.5  -25.1A   1   68
  -33.3  -26.9  -30.1  -20.0   -6.7   -3.8   10.5   29.6   34.4   95.7A   1   69
   89.8   17.9  -36.2  -99.4  -80.7  -74.4  -53.9  -33.0  -12.8    3.1A   1   70
   14.8   50.8   -2.2  -48.9  -35.8  -69.1  -51.6  -37.1    8.8   63.2A   1   71
   84.1  127.6  138.8  119.3   75.1   22.5   -8.8  -22.7    7.4   18.1A   1   72
